year,quarter,market,dur_stay,mode,mode_detail,nationality,purpose,sex,age,package,Visits (000s),Spend (£m),Nights (000s),sample
2002,January-March,USA,1-3  nights,Air,Air,UK,Holiday,Male,25-34,Independent,0.405252014,0.045388199,0.810504028,1
2002,January-March,USA,1-3  nights,Air,Air,UK,Holiday,Male,35-44,Independent,0.429082001,0,1.28725,1
2002,January-March,USA,1-3  nights,Air,Air,UK,Miscellaneous,Male,16-24,Independent,0.375868011,0.0101484,0.375868011,1
2002,January-March,USA,1-3  nights,Air,Air,UK,Miscellaneous,Male,25-34,Independent,0.410749008,0.03696778,0.610258011,2
2002,January-March,USA,1-3  nights,Air,Air,UK,Miscellaneous,Male,35-44,Independent,0.529216003,0.120604902,0.928233978,2
2002,January-March,USA,1-3  nights,Air,Air,UK,Miscellaneous,Male,55-64,Independent,0.211240005,0.065906898,0.633719971,1
2002,January-March,USA,1-3  nights,Air,Air,UK,Miscellaneous,Female,25-34,Independent,0.833334015,0.0251256,0.833334015,2
2002,January-March,USA,1-3  nights,Air,Air,UK,Miscellaneous,Female,35-44,Independent,0.199509003,0.042295898,0.199509003,1
2002,January-March,USA,1-3  nights,Air,Air,France,Holiday,Male,35-44,Independent,0.189365005,0.0212089,0.568094971,1
2002,January-March,USA,1-3  nights,Air,Air,Germany,Holiday,Male,25-34,Independent,0.159292999,0.161205,0.477878998,1
2002,January-March,USA,1-3  nights,Air,Air,Germany,Miscellaneous,Female,45-54,Independent,0.252487,0.0282785,0.252487,1
2002,January-March,USA,1-3  nights,Air,Air,Italy,Miscellaneous,Male,25-34,Independent,0.189365005,0.0117406,0.189365005,1
2002,January-March,USA,1-3  nights,Air,Air,Italy,Miscellaneous,Male,35-44,Independent,0.507647003,0,0.507647003,1
2002,January-March,USA,1-3  nights,Air,Air,Italy,Miscellaneous,Female,25-34,Independent,0.189365005,0.106423,0.568094971,1
2002,January-March,USA,1-3  nights,Air,Air,Spain,Miscellaneous,Male,25-34,Independent,0.319666992,0.016622699,0.319666992,1
2002,January-March,USA,1-3  nights,Air,Air,Irish Republic,Holiday,Male,35-44,Independent,0.572864014,0.293306,1.14572998,1
2002,January-March,USA,1-3  nights,Air,Air,Czech Republic,Miscellaneous,Male,55-64,Independent,0.392497009,0.091059297,0.392497009,1
2002,January-March,USA,1-3  nights,Air,Air,Bulgaria,Holiday,Male,25-34,Independent,0.463113007,0.071319398,0.463113007,1
2002,January-March,USA,1-3  nights,Air,Air,Bulgaria,Miscellaneous,Female,25-34,Independent,0.940697998,0.040920398,0.940697998,1
2002,January-March,USA,1-3  nights,Air,Air,Romania,Miscellaneous,Female,25-34,Independent,0.187923004,0.00413431,0.187923004,1
2002,January-March,USA,1-3  nights,Air,Air,Other Western Europe,Miscellaneous,Male,25-34,Independent,0.959002014,0.090146203,0.959002014,1
2002,January-March,USA,1-3  nights,Air,Air,Other Eastern Europe,Miscellaneous,Female,25-34,Independent,0.187923004,0.00507392,0.375846008,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,0 -15,Independent,0.396376007,0.018497699,1.189130005,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,16-24,Independent,2.094915039,0.438458701,4.408091949,4
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,16-24,Non-Independent,0.782330994,0.374533,2.009485962,2
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,25-34,Independent,6.441304092,2.156006998,17.63493283,18
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,25-34,Non-Independent,1.67740303,0.395651297,3.573805908,3
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,35-44,Independent,3.785090042,1.130015297,8.580439911,11
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,35-44,Non-Independent,0.195139008,0.042405898,0.585416992,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,45-54,Independent,3.002880051,1.184391695,7.024534897,9
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,45-54,Non-Independent,0.947161011,0.269605102,2.089460999,3
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,55-64,Independent,2.470217026,1.349464793,6.219747833,9
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,55-64,Non-Independent,0.218990005,0.131238,0.218990005,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Male,65+,Independent,0.218990005,0.221618,0.656969971,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,16-24,Independent,3.073479004,0.441527272,4.881492004,9
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,16-24,Non-Independent,0.414129013,0.111539203,1.242386963,2
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,25-34,Independent,1.85473204,0.604083297,3.473767029,7
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,25-34,Non-Independent,1.473012009,0.611280305,4.419039917,4
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,35-44,Independent,3.536292038,1.125974502,8.192241882,11
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,35-44,Non-Independent,1.045947021,0.251447402,2.28703302,4
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,45-54,Independent,2.746404053,0.925808994,6.465299988,10
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,45-54,Non-Independent,1.200110001,0.245354203,2.814352966,4
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,55-64,Independent,1.07109903,0.376911096,2.580177979,5
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,55-64,Non-Independent,0.609268021,0.119247,1.437526001,3
2002,January-March,USA,1-3  nights,Air,Air,USA,Holiday,Female,65+,Independent,0.600813004,0.028850301,0.982636002,2
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Male,16-24,Independent,1.115193008,0.068226041,1.115193008,4
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Male,25-34,Independent,2.348837067,0.129450748,2.567827072,8
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Male,25-34,Non-Independent,0.396376007,0.084031703,1.189130005,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Male,35-44,Independent,7.459400146,1.250369498,8.823721115,23
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Male,45-54,Independent,4.570040039,0.610193228,5.569586014,18
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Male,55-64,Independent,4.169142075,0.455099402,4.169142075,11
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Male,65+,Independent,0.556498001,0.028931319,0.556498001,2
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,0 -15,Independent,0.381294006,0.048475799,0.381294006,2
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,16-24,Independent,1.556174057,0.179119591,1.556174057,5
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,25-34,Independent,3.21067601,0.331213834,4.249468979,11
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,25-34,Non-Independent,0.444822998,0.027579,0.444822998,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,35-44,Independent,2.521240067,0.358637251,2.521240067,8
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,45-54,Independent,3.819903,0.436416601,3.819903,11
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,55-64,Independent,1.664751007,0.151246898,2.190591003,4
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,55-64,Non-Independent,0.337507996,0.0209255,0.337507996,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,65+,Independent,0.218990005,0.028906699,0.218990005,1
2002,January-March,USA,1-3  nights,Air,Air,USA,Miscellaneous,Female,65+,Non-Independent,0.186154999,0.0208494,0.186154999,1
2002,January-March,USA,1-3  nights,Air,Air,Canada,Holiday,Male,45-54,Independent,0.375285004,0.661252,0.750570007,1
2002,January-March,USA,1-3  nights,Air,Air,Canada,Miscellaneous,Female,45-54,Independent,0.189365005,0.00321921,0.189365005,1
2002,January-March,USA,1-3  nights,Air,Air,Mexico,Holiday,Female,35-44,Non-Independent,0.486092987,0.139752,1.458280029,1
2002,January-March,USA,1-3  nights,Air,Air,Other Central & South America,Holiday,Female,25-34,Independent,0.187923004,0.067934203,0.563768982,1
2002,January-March,USA,1-3  nights,Air,Air,Other Central & South America,Miscellaneous,Male,25-34,Independent,0.386459991,0.030723601,0.579689987,2
2002,January-March,USA,1-3  nights,Air,Air,China,Miscellaneous,Male,25-34,Independent,0.386459015,0.108981,0.386459015,1
2002,January-March,USA,1-3  nights,Air,Air,Other Asia,Miscellaneous,Male,25-34,Independent,0.193229996,0.00850212,0.193229996,1
2002,January-March,USA,1-3  nights,Air,Air,Other Asia,Miscellaneous,Male,55-64,Independent,0.193229996,0,0.193229996,1
2002,January-March,USA,1-3  nights,Air,Air,Australia,Miscellaneous,Male,65+,Independent,0.184526001,0.021312801,0.184526001,1
2002,January-March,USA,1-3  nights,Air,Air,New Zealand,Miscellaneous,Male,45-54,Independent,0.463113007,0.09818,0.463113007,1
2002,January-March,USA,1-3  nights,Air,Air,Other Middle East,Miscellaneous,Male,45-54,Independent,0.313235992,0.097729602,0.313235992,1
2002,January-March,USA,1-3  nights,Air,Air,India,Holiday,Male,35-44,Independent,0.658136993,0.226398801,1.697996033,2
2002,January-March,USA,1-3  nights,Air,Air,India,Holiday,Female,25-34,Independent,0.187923004,0.0163493,0.187923004,1
2002,January-March,USA,1-3  nights,Air,Air,India,Holiday,Female,35-44,Independent,0.471087006,0.040984602,1.41326001,1
2002,January-March,USA,1-3  nights,Air,Air,India,Miscellaneous,Male,16-24,Independent,0.187923004,0.0101478,0.187923004,1
2002,January-March,USA,1-3  nights,Air,Air,India,Miscellaneous,Male,25-34,Independent,0.367432007,0,0.367432007,2
2002,January-March,USA,1-3  nights,Air,Air,India,Miscellaneous,Male,35-44,Independent,0.179509003,0.0111296,0.179509003,1
2002,January-March,USA,1-3  nights,Air,Air,Pakistan,Miscellaneous,Male,65+,Independent,0.193229996,0.00811566,0.193229996,1
2002,January-March,USA,1-3  nights,Air,Air,South Africa,Holiday,Female,25-34,Independent,0.233339996,0.017967199,0.466679993,1
2002,January-March,USA,1-3  nights,Air,Air,South Africa,Miscellaneous,Male,35-44,Independent,0.187923004,0.058632,0.187923004,1
2002,January-March,USA,1-3  nights,Air,Air,South Africa,Miscellaneous,Male,45-54,Independent,0.489860992,0.201823,0.489860992,1
2002,January-March,USA,1-3  nights,Air,Air,Nigeria,Miscellaneous,Male,35-44,Independent,0.281166992,0,0.281166992,1
2002,January-March,USA,4-7  nights,Air,Air,UK,Holiday,Male,35-44,Independent,0.68757901,0.363763898,3.860369873,3
2002,January-March,USA,4-7  nights,Air,Air,UK,Holiday,Male,45-54,Independent,0.211240005,0.055344898,0.844960022,1
2002,January-March,USA,4-7  nights,Air,Air,UK,Holiday,Female,35-44,Independent,0.211240005,0.00957614,1.478680054,1
2002,January-March,USA,4-7  nights,Air,Air,UK,Holiday,Female,45-54,Independent,0.211240005,0.0183779,1.056199951,1
2002,January-March,USA,4-7  nights,Air,Air,UK,Holiday,Female,65+,Non-Independent,0.199509003,0.150214,1.396560059,1
2002,January-March,USA,4-7  nights,Air,Air,Austria,Holiday,Male,25-34,Independent,0.527367004,0.639169,3.691570068,1
2002,January-March,USA,4-7  nights,Air,Air,USA,Holiday,Male,0 -15,Independent,1.079670013,0.555737297,7.167404968,3
2002,January-March,USA,4-7  nights,Air,Air,USA,Holiday,Male,0 -15,Non-Independent,0.218990005,0.064018398,1.313939941,1
